CTC,CGPA,students
28,8.5,4
12.5,7,4
22,7,8
19,9.32,10
20,8,
16.5,7,14
7,7.5,2
6,7,
16,N/A,1
22,9,3
20,8,3
35,8.5,9
,,
17,8.5,4
33,N/A,
20,7,3
20,7.5,2
20,7.5,1
20,8,5
10,8,2
15,8,1
20,8.5,1
14,7.5,7
14,7.5,4
15,7.5,11
5,7,
16,7.5,0
13.3,7.5,5
19.75,7.5,7
3.6,7.5,2
14,8,5
15,6.5,6
10,7.5,3
14,7.5,3
9,6,16
17,7,5
21,7.5,20
8.5,7,2
15.7,8,2
13,8,3
12,8,2
12,6.5,3
8,7,
12,6.5,6
12.5,8.5,3
21,8,3
21,8,6
14,7.5,5
8.5,8,5
18,7.5,4
7,7.5,2
9,7.5,2
10,7.5,4
7.2,7.5,5
14,8,11
35,9.6,7
20,9.1,6
14,8,3
13,8,7
13.2,8,7
7.6,7 GPA ,35
,,1
12.2,7,31
7.2,8,3
,,
13.3,8,5
17.5,8,
